0,0,9.14
2.644927536,0.03,9.22
5.289855072,0.37,9.52
7.934782609,0.74,9.52
10.57971014,1.21,9.43
13.22463768,1.81,9.63
15.86956522,2.52,9.67
18.51449275,3.32,9.44
21.15942029,4.24,9.52
23.80434783,5.26,9.39
26.44927536,6.33,9.33
29.0942029,7.47,9.86
31.73913043,8.71,10.21
34.38405797,10.06,10.32
37.02898551,11.5,10.58
39.67391304,13,10.75
42.31884058,14.59,10.85
44.96376812,16.27,11.1
47.60869565,18.01,11.28
50.25362319,19.82,11.36
52.89855072,21.72,11.56
55.54347826,23.68,11.68
58.1884058,25.69,11.76
60.83333333,27.75,11.65
63.47826087,29.88,11.48
66.12318841,32.05,11.07
68.76811594,34.24,10.82
71.41304348,36.48,10.64
74.05797101,38.75,10.5
76.70289855,41.06,10.3
79.34782609,43.39,10.11
81.99275362,45.76,9.99
84.63768116,48.19,9.84
87.2826087,50.51,9.67
89.92753623,52.82,9.47
92.57246377,55.16,9.36
95.2173913,57.49,9.54
97.86231884,59.78,9.75
100.5072464,62.05,9.92
103.1521739,64.33,10.03
105.7971014,66.57,10.16
108.442029,68.78,10.18
111.0869565,70.94,10.18
113.7318841,73.07,10.29
116.3768116,75.15,10.35
119.0217391,77.16,10.29
121.6666667,79.11,10.38
124.3115942,81,10.54
126.9565217,82.83,10.42
129.6014493,84.6,10.1
132.2463768,86.26,9.83
134.8913043,87.85,9.65
137.5362319,89.35,9.46
140.1811594,90.75,9.25
142.826087,92.04,9.2
145.4710145,93.07,9.14
148.115942,93.25,9.19
150.7608696,94.37,9
153.4057971,95.36,8.82
156.0507246,96.28,8.87
158.6956522,97.09,8.77
161.3405797,97.79,8.58
163.9855072,98.38,8.76
166.6304348,98.88,9.09
169.2753623,99.28,9.28
171.9202899,99.59,9.38
174.5652174,99.81,9.6
177.2101449,99.95,9.73
179.8550725,99.85,9.75
182.5,99.39,9.79
185.1449275,99.04,9.87
187.7898551,98.63,9.9
190.4347826,98.15,9.81
193.0797101,97.61,9.47
195.7246377,97,9.31
198.3695652,96.35,9.31
201.0144928,95.6,9.19
203.6594203,94.78,9
206.3043478,93.96,9.09
208.9492754,93.07,9.14
211.5942029,92.11,8.96
214.2391304,91.12,8.9
216.884058,90.09,9.09
219.5289855,88.99,9.03
222.173913,87.84,8.93
224.8188406,86.65,9.22
227.4637681,85.42,9.55
230.1086957,84.13,9.54
232.7536232,82.8,9.49
235.3985507,81.43,9.63
238.0434783,79.99,9.71
240.6884058,78.53,9.47
243.3333333,77.02,9.39
245.9782609,75.44,9.46
248.6231884,73.82,9.27
251.2681159,72.17,9.01
253.9130435,70.47,8.88
256.557971,68.71,8.66
259.2028986,66.95,8.2
261.8478261,65.13,7.75
264.4927536,63.23,7.61
267.1376812,61.32,7.56
269.7826087,59.39,7.3
272.4275362,57.4,7.05
275.0724638,55.37,7.01
277.7173913,53.34,6.89
280.3623188,51.28,6.55
283.0072464,49.17,6.41
285.6521739,47.05,6.6
288.2971014,44.92,6.77
290.942029,42.77,7.03
293.5869565,40.58,7.38
296.2318841,38.37,7.7
298.8768116,36.16,7.77
301.5217391,33.92,7.73
304.1666667,31.66,7.94
306.8115942,29.43,8.16
309.4565217,27.21,8.18
312.1014493,25,8.37
314.7463768,22.85,8.61
317.3913043,20.75,8.58
320.0362319,18.71,8.53
322.6811594,16.74,8.56
325.326087,14.86,8.26
327.9710145,13,8.07
330.615942,11.23,8.21
333.2608696,9.57,8.2
335.9057971,8.03,8.21
338.5507246,6.61,8.36
341.1956522,5.32,8.32
343.8405797,4.17,8.23
346.4855072,3.16,8.34
349.1304348,2.3,8.36
351.7753623,1.57,8.4
354.4202899,0.98,8.6
357.0652174,0.52,8.79
359.7101449,0.2,9.08
362.3550725,0,9.14
